x,y,species_8 cloglog values
428.0,428.0,0.36009
429.0,429.0,0.07420966
430.0,430.0,0.1413826
431.0,431.0,0.66424966
432.0,432.0,0.21158147
433.0,433.0,0.21323085
434.0,434.0,0.59174836
435.0,435.0,0.88726765
436.0,436.0,0.051190127
437.0,437.0,0.34401947
438.0,438.0,0.14313069
439.0,439.0,0.84107786
440.0,440.0,0.36965808
441.0,441.0,0.31865233
442.0,442.0,0.46592245
443.0,443.0,0.83132267
444.0,444.0,0.79248476
445.0,445.0,0.0018357544
446.0,446.0,0.4947592
447.0,447.0,0.06728772
448.0,448.0,0.50517017
449.0,449.0,0.51472497
450.0,450.0,0.6123555
451.0,451.0,0.659845
452.0,452.0,0.07478506
453.0,453.0,0.6264812
454.0,454.0,0.6606225
455.0,455.0,0.4008105
456.0,456.0,0.38508984
457.0,457.0,0.83904904
458.0,458.0,5.7982163E-7
459.0,459.0,0.07320093
460.0,460.0,0.17366341
461.0,461.0,0.5394925
462.0,462.0,0.72044295
463.0,463.0,0.6903644
464.0,464.0,0.16426598
465.0,465.0,0.8189787
466.0,466.0,0.6370858
467.0,467.0,0.009527928
468.0,468.0,0.3018431
469.0,469.0,0.62801325
470.0,470.0,0.8405706
471.0,471.0,0.85051477
472.0,472.0,0.7586273
473.0,473.0,0.26045504
474.0,474.0,0.8484889
475.0,475.0,0.14529128
476.0,476.0,0.8615125
477.0,477.0,0.112465456
478.0,478.0,6.494802E-4
479.0,479.0,0.15496792
480.0,480.0,9.771127E-4
481.0,481.0,0.3834839
482.0,482.0,0.5395347
483.0,483.0,0.041722894
484.0,484.0,0.04332628
485.0,485.0,0.4342561
486.0,486.0,0.23182383
487.0,487.0,0.7428976
488.0,488.0,0.4988673
489.0,489.0,0.8711184
490.0,490.0,0.09670002
491.0,491.0,0.52444094
492.0,492.0,0.7230536
493.0,493.0,0.31983948
494.0,494.0,0.17529581
495.0,495.0,0.5772458
496.0,496.0,0.503934
497.0,497.0,0.09279659
498.0,498.0,0.4713445
499.0,499.0,0.6028985
500.0,500.0,0.6001548
501.0,501.0,0.84012115
502.0,502.0,0.28535172
503.0,503.0,0.58569616
504.0,504.0,0.59343517
505.0,505.0,0.33782035
506.0,506.0,0.12460769
507.0,507.0,0.6388255
508.0,508.0,0.59601825
509.0,509.0,0.07923827
510.0,510.0,0.32656366
511.0,511.0,0.18656266
512.0,512.0,0.6976465
513.0,513.0,0.23150916
514.0,514.0,1.5565708E-4
515.0,515.0,0.70270157
516.0,516.0,0.10798545
517.0,517.0,0.041318882
518.0,518.0,0.6962693
519.0,519.0,0.49469644
520.0,520.0,0.030497365
521.0,521.0,0.14145318
522.0,522.0,0.17348126
523.0,523.0,0.71711516
524.0,524.0,0.58695906
525.0,525.0,0.25904918
526.0,526.0,0.060093503
527.0,527.0,0.2919636
528.0,528.0,0.19239894
529.0,529.0,0.090311885
530.0,530.0,0.5311242
531.0,531.0,0.77566206
532.0,532.0,0.6767726
533.0,533.0,0.7639917
534.0,534.0,0.2357503
535.0,535.0,0.06905672
536.0,536.0,0.32535917
537.0,537.0,0.885282
538.0,538.0,0.5097176
539.0,539.0,0.80797964
540.0,540.0,0.84959835
541.0,541.0,0.3541387
542.0,542.0,0.49895087
543.0,543.0,0.02865494
544.0,544.0,0.21630584
545.0,545.0,3.1313102E-5
546.0,546.0,0.60043085
547.0,547.0,0.4913838
548.0,548.0,0.1670507
549.0,549.0,0.0514427
550.0,550.0,0.084334925
551.0,551.0,0.6057762
552.0,552.0,0.6862036
553.0,553.0,0.026663002
554.0,554.0,0.55506426
555.0,555.0,1.4561259E-6
556.0,556.0,3.5165562E-4
557.0,557.0,0.62538594
558.0,558.0,0.7252312
559.0,559.0,0.6409301
560.0,560.0,0.00501187
561.0,561.0,0.069502115
562.0,562.0,0.3296688
563.0,563.0,0.48030692
564.0,564.0,0.51279837
565.0,565.0,0.60695946
566.0,566.0,0.2844144
567.0,567.0,0.7045735
568.0,568.0,0.22251698
569.0,569.0,0.16470084
570.0,570.0,0.17472023
571.0,571.0,0.047083367
572.0,572.0,0.29327738
573.0,573.0,2.302266E-5
574.0,574.0,0.46821916
575.0,575.0,0.5424587
576.0,576.0,0.11432356
577.0,577.0,0.13096139
578.0,578.0,0.018378658
579.0,579.0,0.25788692
580.0,580.0,0.1261881
581.0,581.0,0.2615081
582.0,582.0,0.027489444
583.0,583.0,0.11079361
584.0,584.0,0.7559098
585.0,585.0,0.08520946
586.0,586.0,0.5369203
