x,y,species max
563.0,563.0,0.6622684
564.0,564.0,0.5149781
565.0,565.0,0.015580591
566.0,566.0,0.52763826
567.0,567.0,0.50979245
568.0,568.0,0.5616507
569.0,569.0,0.09952476
570.0,570.0,0.0883462
571.0,571.0,0.5298262
572.0,572.0,0.08884301
573.0,573.0,0.53808933
574.0,574.0,0.10207183
575.0,575.0,0.016812181
576.0,576.0,0.46384856
577.0,577.0,0.92883754
578.0,578.0,0.739724
579.0,579.0,0.456273
580.0,580.0,0.49117178
581.0,581.0,0.8626647
582.0,582.0,0.3752793
583.0,583.0,0.073518634
584.0,584.0,0.004244155
585.0,585.0,0.48535383
586.0,586.0,0.17354149
587.0,587.0,0.17648615
588.0,588.0,0.0813486
589.0,589.0,0.8977205
590.0,590.0,1.2689123E-4
591.0,591.0,0.80015963
592.0,592.0,0.22638458
593.0,593.0,0.31626672
594.0,594.0,0.070392
595.0,595.0,0.1835041
596.0,596.0,0.08661938
597.0,597.0,0.5251628
598.0,598.0,0.425272
599.0,599.0,0.04209219
600.0,600.0,0.62569374
601.0,601.0,0.95729846
602.0,602.0,0.72471905
603.0,603.0,0.26900008
604.0,604.0,0.7141432
605.0,605.0,0.18590963
606.0,606.0,0.92823905
607.0,607.0,0.59733516
608.0,608.0,0.27994335
609.0,609.0,0.08963021
610.0,610.0,0.44546866
611.0,611.0,0.032720257
612.0,612.0,0.39582285
613.0,613.0,0.5957535
614.0,614.0,0.4326314
615.0,615.0,0.91258913
616.0,616.0,0.5098999
617.0,617.0,0.6029632
618.0,618.0,0.45610428
619.0,619.0,0.19743559
620.0,620.0,0.11890279
621.0,621.0,0.44721282
622.0,622.0,0.44623092
623.0,623.0,0.031701967
624.0,624.0,0.38682163
625.0,625.0,0.12870942
626.0,626.0,0.4573634
627.0,627.0,0.13872074
628.0,628.0,0.14504243
629.0,629.0,0.17323203
630.0,630.0,0.03865958
631.0,631.0,0.35033372
632.0,632.0,0.15988101
633.0,633.0,0.67212987
634.0,634.0,0.4167027
635.0,635.0,0.13742536
636.0,636.0,0.54618603
637.0,637.0,0.92617357
638.0,638.0,0.8327456
639.0,639.0,0.5419217
640.0,640.0,0.24715127
641.0,641.0,0.092422724
642.0,642.0,0.38595578
643.0,643.0,0.47559834
644.0,644.0,0.28873315
645.0,645.0,0.11579615
646.0,646.0,0.7743227
647.0,647.0,0.52922916
648.0,648.0,0.37443414
649.0,649.0,0.36440453
650.0,650.0,0.6023499
651.0,651.0,0.5014159
652.0,652.0,0.42743692
653.0,653.0,0.52546793
654.0,654.0,0.25188902
655.0,655.0,0.5221591
656.0,656.0,0.3380655
657.0,657.0,0.07328799
658.0,658.0,0.50188476
659.0,659.0,0.0038152037
660.0,660.0,0.95549214
661.0,661.0,0.6808972
662.0,662.0,0.085297614
663.0,663.0,0.121726654
664.0,664.0,0.45358786
665.0,665.0,0.47714943
666.0,666.0,0.4954023
667.0,667.0,0.6896012
668.0,668.0,0.4819464
669.0,669.0,0.124675766
670.0,670.0,0.10533652
671.0,671.0,0.36705673
672.0,672.0,0.05399675
673.0,673.0,0.1508653
674.0,674.0,0.52370083
675.0,675.0,0.018703122
676.0,676.0,0.15207033
677.0,677.0,0.45079812
678.0,678.0,2.9534247E-4
679.0,679.0,0.82565045
680.0,680.0,0.91606534
681.0,681.0,0.3061482
682.0,682.0,0.012080382
683.0,683.0,0.34550586
684.0,684.0,0.0892742
685.0,685.0,0.06874084
686.0,686.0,0.17361037
687.0,687.0,0.8607349
688.0,688.0,0.9033888
689.0,689.0,0.9034027
690.0,690.0,0.26425546
691.0,691.0,0.5675204
692.0,692.0,0.8589802
693.0,693.0,0.2947774
694.0,694.0,0.61001104
695.0,695.0,0.76678824
696.0,696.0,0.7386246
697.0,697.0,0.34399804
698.0,698.0,0.82972527
699.0,699.0,0.08752368
700.0,700.0,0.43810147
701.0,701.0,0.7237271
702.0,702.0,0.77510667
703.0,703.0,0.49625504
704.0,704.0,0.8695701
705.0,705.0,0.1463376
706.0,706.0,0.342928
707.0,707.0,0.55045605
708.0,708.0,1.2800029E-5
709.0,709.0,0.14322293
710.0,710.0,0.13094398
711.0,711.0,0.11731577
712.0,712.0,0.64134085
713.0,713.0,0.849464
714.0,714.0,0.15857957
715.0,715.0,0.08725827
716.0,716.0,0.36264828
717.0,717.0,0.7764663
718.0,718.0,0.69496214
719.0,719.0,0.719239
720.0,720.0,0.098248385
721.0,721.0,0.67094004
722.0,722.0,0.507223
723.0,723.0,0.4488907
724.0,724.0,0.49406728
725.0,725.0,0.0049812156
726.0,726.0,0.8475084
727.0,727.0,0.26515827
728.0,728.0,0.5475997
729.0,729.0,0.5661955
730.0,730.0,0.20048946
731.0,731.0,0.40032902
732.0,732.0,0.24191995
733.0,733.0,0.79080296
734.0,734.0,0.43040967
735.0,735.0,0.89778745
736.0,736.0,0.0106183635
737.0,737.0,0.64783365
738.0,738.0,0.39819482
739.0,739.0,7.4812015E-5
740.0,740.0,0.47921908
741.0,741.0,0.37080392
742.0,742.0,0.11527014
743.0,743.0,0.380415
744.0,744.0,0.37425452
745.0,745.0,0.43725976
746.0,746.0,0.036095876
747.0,747.0,0.3826879
748.0,748.0,0.072115794
749.0,749.0,0.60269696
750.0,750.0,0.42062414
751.0,751.0,0.28907356
752.0,752.0,0.63203126
753.0,753.0,0.15086973
754.0,754.0,0.93157774
755.0,755.0,0.84632623
756.0,756.0,0.24193169
757.0,757.0,0.8488484
758.0,758.0,0.78808886
759.0,759.0,0.35148433
760.0,760.0,0.44067404
761.0,761.0,0.36749202
762.0,762.0,0.5589025
763.0,763.0,0.23968154
764.0,764.0,0.40558183
765.0,765.0,0.7189909
766.0,766.0,0.009440314
767.0,767.0,0.69586885
768.0,768.0,0.6239637
769.0,769.0,0.1601761
770.0,770.0,0.51175916
771.0,771.0,0.44316095
772.0,772.0,0.0012859983
773.0,773.0,0.3700714
774.0,774.0,0.646758
775.0,775.0,0.43596783
776.0,776.0,0.19876699
777.0,777.0,0.2529267
778.0,778.0,0.13221847
779.0,779.0,0.5046172
780.0,780.0,0.61841744
781.0,781.0,0.42006588
782.0,782.0,0.87057245
783.0,783.0,0.20535249
784.0,784.0,0.05578077
785.0,785.0,0.4281145
786.0,786.0,0.09657743
787.0,787.0,0.29985365
788.0,788.0,0.0075202123
789.0,789.0,0.35103106
790.0,790.0,0.07196352
791.0,791.0,0.49065387
792.0,792.0,0.43987626
793.0,793.0,0.20085153
794.0,794.0,0.11727223
795.0,795.0,0.569025
