variable,x,y
tmean11,8.944960765838623,4.664317748392932E-5
tmean11,8.987091065979003,4.9214813770959154E-5
tmean11,9.029221366119383,5.192823300603777E-5
tmean11,9.071351666259766,5.479124956764281E-5
tmean11,9.113481966400146,5.7812041632132605E-5
tmean11,9.155612266540526,6.099944585002959E-5
tmean11,9.197742566680907,6.436258263420314E-5
tmean11,9.239872866821287,6.791113264625892E-5
tmean11,9.282003166961669,7.165531860664487E-5
tmean11,9.32413346710205,7.560593076050282E-5
tmean11,9.36626376724243,7.977424684213474E-5
tmean11,9.40839406738281,8.417246135650203E-5
tmean11,9.45052436752319,8.88131617102772E-5
tmean11,9.492654667663572,9.370969928568229E-5
tmean11,9.534784967803953,9.88761821645312E-5
tmean11,9.576915267944333,1.0432749695610255E-4
tmean11,9.619045568084715,1.1007920693373308E-4
tmean11,9.661175868225095,1.1614814138738438E-4
tmean11,9.703306168365476,1.225516462000087E-4
tmean11,9.745436468505856,1.2930817320011556E-4
tmean11,9.787566768646236,1.364371710224077E-4
tmean11,9.829697068786619,1.4395899779628962E-4
tmean11,9.871827368926999,1.5189567056950182E-4
tmean11,9.91395766906738,1.602698612259701E-4
tmean11,9.956087969207761,1.6910569684114307E-4
tmean11,9.998218269348142,1.7842859961092472E-4
tmean11,10.040348569488522,1.8826544692274183E-4
tmean11,10.082478869628902,1.9864430942106992E-4
tmean11,10.124609169769283,2.0959554240107536E-4
tmean11,10.166739469909665,2.2115044703241438E-4
tmean11,10.208869770050045,2.33342288993299E-4
tmean11,10.251000070190425,2.462061820551753E-4
tmean11,10.293130370330807,2.59778811596334E-4
tmean11,10.335260670471188,2.7409993344917893E-4
tmean11,10.377390970611568,2.892104093916714E-4
tmean11,10.419521270751948,3.051537787541747E-4
tmean11,10.461651570892329,3.219759091734886E-4
tmean11,10.50378187103271,3.3972522942349315E-4
tmean11,10.545912171173091,3.58452380169183E-4
tmean11,10.588042471313472,3.782121348194778E-4
tmean11,10.630172771453854,3.9906095480546355E-4
tmean11,10.672303071594234,4.2105879401788116E-4
tmean11,10.714433371734614,4.44268953287974E-4
tmean11,10.756563671874995,4.6875825501047075E-4
tmean11,10.798693972015375,4.945965483784676E-4
tmean11,10.840824272155757,5.218593287281692E-4
tmean11,10.882954572296137,5.506244488060474E-4
tmean11,10.925084872436518,5.809746216982603E-4
tmean11,10.9672151725769,6.129972171038389E-4
tmean11,11.00934547271728,6.467834464274347E-4
tmean11,11.05147577285766,6.824320880696177E-4
tmean11,11.093606072998043,7.200448890216649E-4
tmean11,11.135736373138421,7.597298827022314E-4
tmean11,11.177866673278803,8.016012725420296E-4
tmean11,11.219996973419184,8.457793737761676E-4
tmean11,11.262127273559564,8.923900313675404E-4
tmean11,11.304257573699946,9.415693348273635E-4
tmean11,11.346387873840326,9.934575064107776E-4
tmean11,11.388518173980707,0.001048203674145043
tmean11,11.430648474121089,0.0011059651151299477
tmean11,11.472778774261467,0.0011669062077999115
tmean11,11.51490907440185,0.0012312046019360423
tmean11,11.55703937454223,0.0012990437680855393
tmean11,11.59916967468261,0.0013706182362511754
tmean11,11.641299974822992,0.001446133479475975
tmean11,11.683430274963372,0.0015258060302585363
tmean11,11.725560575103753,0.0016098626656457782
tmean11,11.767690875244135,0.001698547974228859
tmean11,11.809821175384513,0.0017921144608408213
tmean11,11.851951475524896,0.0018908303463831544
tmean11,11.894081775665274,0.001994978403672576
tmean11,11.936212075805656,0.0021048570051789284
tmean11,11.978342375946037,0.0022207777947187424
tmean11,12.020472676086417,0.0023430781438946724
tmean11,12.062602976226799,0.00247210543602705
tmean11,12.10473327636718,0.0026082287076860666
tmean11,12.14686357650756,0.002751837018877268
tmean11,12.188993876647942,0.002903337124735117
tmean11,12.23112417678832,0.00306316907517612
tmean11,12.273254476928702,0.0032317854929715395
tmean11,12.315384777069083,0.0034096678718924522
tmean11,12.357515077209463,0.00359732354991138
tmean11,12.399645377349845,0.003795287339016795
tmean11,12.441775677490224,0.004004118498414755
tmean11,12.483905977630606,0.004224420990794897
tmean11,12.526036277770986,0.004456817172467709
tmean11,12.568166577911366,0.004701968282461166
tmean11,12.610296878051749,0.004960570018738508
tmean11,12.652427178192129,0.005233351141214371
tmean11,12.69455747833251,0.005521096754819155
tmean11,12.736687778472891,0.00582461804151535
tmean11,12.77881807861327,0.006144773215055466
tmean11,12.820948378753652,0.006482468452304602
tmean11,12.863078678894032,0.006838658824563026
tmean11,12.905208979034413,0.007214340381324291
tmean11,12.947339279174795,0.0076105897314846516
tmean11,12.989469579315175,0.008028515614569187
tmean11,13.031599879455555,0.008469292894005775
tmean11,13.073730179595938,0.008934160694479942
tmean11,13.115860479736316,0.00942442286759615
tmean11,13.157990779876698,0.009941441006958485
tmean11,13.200121080017079,0.010486684739589691
tmean11,13.242251380157459,0.01106166560202837
tmean11,13.284381680297841,0.01166798546910286
tmean11,13.326511980438221,0.012307331897318363
tmean11,13.368642280578602,0.012981466017663479
tmean11,13.410772580718984,0.013692284934222698
tmean11,13.452902880859362,0.014441740699112415
tmean11,13.495033180999744,0.015231899917125702
tmean11,13.537163481140125,0.01606493815779686
tmean11,13.579293781280505,0.01694314368069172
tmean11,13.621424081420887,0.017868898808956146
tmean11,13.663554381561267,0.01884477026760578
tmean11,13.705684681701648,0.019873397424817085
tmean11,13.74781498184203,0.020957568660378456
tmean11,13.789945281982408,0.022100215777754784
tmean11,13.83207558212279,0.023304389789700508
tmean11,13.87420588226317,0.024573376402258873
tmean11,13.916336182403551,0.025910543277859688
tmean11,13.958466482543933,0.027319446206092834
tmean11,14.000596782684314,0.02880382165312767
tmean11,14.042727082824694,0.03036758303642273
tmean11,14.084857382965076,0.032014794647693634
tmean11,14.126987683105455,0.03374983370304108
tmean11,14.169117983245837,0.035577159374952316
tmean11,14.211248283386217,0.037501491606235504
tmean11,14.253378583526597,0.039527758955955505
tmean11,14.29550888366698,0.04166112095117569
tmean11,14.33763918380736,0.04390691965818405
tmean11,14.37976948394774,0.046270884573459625
tmean11,14.421899784088122,0.0487588532269001
tmean11,14.4640300842285,0.051376961171627045
tmean11,14.506160384368883,0.054131608456373215
tmean11,14.548290684509263,0.05702939257025719
tmean11,14.590420984649644,0.06007739156484604
tmean11,14.632551284790026,0.06328276544809341
tmean11,14.674681584930406,0.06665301322937012
tmean11,14.716811885070786,0.07019593566656113
tmean11,14.758942185211168,0.0739196240901947
tmean11,14.801072485351547,0.07783235609531403
tmean11,14.843202785491929,0.08194299042224884
tmean11,14.885333085632311,0.08626040816307068
tmean11,14.92746338577269,0.09079384803771973
tmean11,14.969593685913072,0.09555286169052124
tmean11,15.01172398605345,0.10054714232683182
tmean11,15.053854286193832,0.1057870015501976
tmean11,15.095984586334215,0.11128267645835876
tmean11,15.138114886474593,0.11704473942518234
tmean11,15.180245186614975,0.12308400124311447
tmean11,15.222375486755354,0.1294114589691162
tmean11,15.264505786895736,0.13603812456130981
tmean11,15.306636087036118,0.14297564327716827
tmean11,15.3487663871765,0.15023526549339294
tmean11,15.390896687316879,0.15782849490642548
tmean11,15.43302698745726,0.16576683521270752
tmean11,15.47515728759764,0.17406173050403595
tmean11,15.517287587738021,0.18272437155246735
tmean11,15.5594178878784,0.19176633656024933
tmean11,15.601548188018782,0.20119839906692505
tmean11,15.643678488159164,0.21103118360042572
tmean11,15.685808788299546,0.22127491235733032
tmean11,15.727939088439925,0.23193901777267456
tmean11,15.770069388580307,0.2430330365896225
tmean11,15.812199688720685,0.25456503033638
tmean11,15.854329988861068,0.2665424346923828
tmean11,15.896460289001446,0.2789716124534607
tmean11,15.938590589141828,0.2918578088283539
tmean11,15.98072088928221,0.3052045404911041
